symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PEP,2018-06-04 00:00:00+00:00,100.12,101.09,100.03,100.77,3931982,87.4079529287,88.254793863,87.3293800585,87.9754236579,3931982,0.0,1.0
PEP,2018-06-05 00:00:00+00:00,100.21,100.96,99.88,100.46,4851861,87.4865257989,88.1412997172,87.1984252749,87.7047837717,4851861,0.0,1.0
PEP,2018-06-06 00:00:00+00:00,100.83,100.86,99.82,100.4,3946695,88.0278055714,88.0539965281,87.1460433614,87.6524018582,3946695,0.0,1.0
PEP,2018-06-07 00:00:00+00:00,101.16,101.51,100.33,100.51,5052853,88.3159060954,88.6214672573,87.5912896258,87.7484353662,5052853,0.0,1.0
PEP,2018-06-08 00:00:00+00:00,101.16,101.16,101.16,101.16,4795523,88.3159060954,88.3159060954,88.3159060954,88.3159060954,4795523,0.0,1.0
PEP,2018-06-11 00:00:00+00:00,103.21,103.41,102.27,102.61,3984511,90.105621472,90.2802278502,89.2849714944,89.5818023374,3984511,0.0,1.0
PEP,2018-06-12 00:00:00+00:00,104.48,104.55,102.82,103.23,5075912,91.2143719736,91.2754842059,89.7651390345,90.1230821098,5075912,0.0,1.0
PEP,2018-06-13 00:00:00+00:00,105.27,105.6,104.16,104.16,7553461,91.9040671675,92.1921676915,90.9350017684,90.9350017684,7553461,0.0,1.0
PEP,2018-06-14 00:00:00+00:00,105.13,105.36,104.43,105.26,4812635,91.7818427027,91.9826400377,91.170720379,91.8953368486,4812635,0.0,1.0
PEP,2018-06-15 00:00:00+00:00,107.61,107.75,104.82,105.1,10572996,93.9469617925,94.0691862572,91.5112028165,91.755651746,10572996,0.0,1.0
PEP,2018-06-18 00:00:00+00:00,105.38,107.21,104.83,107.01,5971395,92.0001006755,93.5977490361,91.5199331354,93.4231426579,5971395,0.0,1.0
PEP,2018-06-19 00:00:00+00:00,105.96,106.68,105.22,105.49,5504407,92.5064591723,93.1350421338,91.8604155729,92.0961341835,5504407,0.0,1.0
PEP,2018-06-20 00:00:00+00:00,105.81,106.11,105.36,105.73,4601418,92.3755043886,92.6374139559,91.9826400377,92.3056618373,4601418,0.0,1.0
PEP,2018-06-21 00:00:00+00:00,107.24,107.43,106.3,106.57,6550685,93.6239399928,93.7898160521,92.8032900152,93.0390086258,6550685,0.0,1.0
PEP,2018-06-22 00:00:00+00:00,108.37,108.67,107.14,107.24,5709358,94.6104660296,94.8723755969,93.5366368037,93.6239399928,5709358,0.0,1.0
PEP,2018-06-25 00:00:00+00:00,108.99,109.59,107.71,107.71,5183024,95.1517458021,95.6755649367,94.0342649816,94.0342649816,5183024,0.0,1.0
PEP,2018-06-26 00:00:00+00:00,108.05,109.17,107.47,109.05,5034143,94.3310958245,95.3088915424,93.8247373277,95.2041277155,5034143,0.0,1.0
PEP,2018-06-27 00:00:00+00:00,108.27,108.96,107.62,108.37,6229171,94.5231628405,95.1255548453,93.9556921114,94.6104660296,6229171,0.0,1.0
PEP,2018-06-28 00:00:00+00:00,108.68,109.3,108.3,108.42,4297621,94.8811059159,95.4223856883,94.5493537973,94.6541176242,4297621,0.0,1.0
PEP,2018-06-29 00:00:00+00:00,108.87,109.5,107.8,108.72,4721408,95.0469819751,95.5969920665,94.1128378518,94.9160271915,4721408,0.0,1.0
PEP,2018-07-02 00:00:00+00:00,109.53,110.0,108.31,108.7,4711946,95.6231830232,96.033508012,94.5580841162,94.8985665537,4711946,0.0,1.0
PEP,2018-07-03 00:00:00+00:00,108.8,109.57,108.06,108.58,3769084,94.9858697428,95.6581042989,94.3398261434,94.7938027267,3769084,0.0,1.0
