symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WIT,2018-05-16 00:00:00+00:00,4.67,4.67,4.63,4.66,414659,3.4306475988,3.4306475988,3.4012630369,3.4233014584,552878,0.0,1.0
WIT,2018-05-17 00:00:00+00:00,4.63,4.68,4.62,4.66,623093,3.4012630369,3.4379937393,3.3939168965,3.4233014584,830790,0.0,1.0
WIT,2018-05-18 00:00:00+00:00,4.59,4.65,4.57,4.59,1634915,3.3718784751,3.4159553179,3.3571861941,3.3718784751,2179886,0.0,1.0
WIT,2018-05-21 00:00:00+00:00,4.54,4.57,4.51,4.55,750075,3.3351477727,3.3571861941,3.3131093513,3.3424939132,1000099,0.0,1.0
WIT,2018-05-22 00:00:00+00:00,4.62,4.66,4.52,4.56,1306485,3.3939168965,3.4233014584,3.3204554918,3.3498400537,1741979,0.0,1.0
WIT,2018-05-23 00:00:00+00:00,4.62,4.63,4.5,4.58,695189,3.3939168965,3.4012630369,3.3057632109,3.3645323346,926918,0.0,1.0
WIT,2018-05-24 00:00:00+00:00,4.59,4.63,4.53,4.62,518200,3.3718784751,3.4012630369,3.3278016323,3.3939168965,690933,0.0,1.0
WIT,2018-05-25 00:00:00+00:00,4.6,4.63,4.57,4.61,529839,3.3792246155,3.4012630369,3.3571861941,3.386570756,706451,0.0,1.0
WIT,2018-05-29 00:00:00+00:00,4.56,4.6,4.53,4.56,718657,3.3498400537,3.3792246155,3.3278016323,3.3498400537,958209,0.0,1.0
WIT,2018-05-30 00:00:00+00:00,4.55,4.59,4.5,4.52,595930,3.3424939132,3.3718784751,3.3057632109,3.3204554918,794573,0.0,1.0
WIT,2018-05-31 00:00:00+00:00,4.6,4.61,4.55,4.55,1440697,3.3792246155,3.386570756,3.3424939132,3.3424939132,1920929,0.0,1.0
WIT,2018-06-01 00:00:00+00:00,4.6,4.62,4.59,4.62,373456,3.3792246155,3.3939168965,3.3718784751,3.3939168965,497941,0.0,1.0
WIT,2018-06-04 00:00:00+00:00,4.61,4.64,4.57,4.64,869329,3.386570756,3.4086091774,3.3571861941,3.4086091774,1159105,0.0,1.0
WIT,2018-06-05 00:00:00+00:00,4.55,4.59,4.53,4.56,806150,3.3424939132,3.3718784751,3.3278016323,3.3498400537,1074866,0.0,1.0
WIT,2018-06-06 00:00:00+00:00,4.65,4.68,4.59,4.62,537279,3.4159553179,3.4379937393,3.3718784751,3.3939168965,716371,0.0,1.0
WIT,2018-06-07 00:00:00+00:00,4.7,4.72,4.61,4.61,897327,3.4526860202,3.4673783012,3.386570756,3.386570756,1196435,0.0,1.0
